ID,Variable,Value,Unit,Note
HLT-HSV-010,Subjects,Not stated in abstract,,subjects,Histopathologic study of recurrent herpes simplex labialis lesions
HLT-HSV-010,HSV type,HSV-1,,Recurrent herpes simplex labialis
HLT-HSV-010,Specimen type,Biopsy,,Biopsies taken from lesions at various clinical stages
HLT-HSV-010,Method,Histopathology,,Hematoxylin and eosin-stained sections examined
HLT-HSV-010,Earliest specific finding,Nuclear changes,,Peripheral chromatin clumping, ground-glass appearance and nuclear ballooning
HLT-HSV-010,Earliest cytoplasmic alteration,Vacuolization,,Vacuolization was the earliest cytoplasmic alteration within keratinocytes
HLT-HSV-010,Initial site,Basal cell layer,,Herpes-induced changes began focally along the basal cell layer
HLT-HSV-010,Epidermal involvement,Rapid and widespread,,The entire epidermis was rapidly altered
HLT-HSV-010,Late lesions,Intranuclear inclusion bodies,observation,Inclusion bodies were unusual and occurred in late lesions
HLT-HSV-010,Early lesions,Mononuclear and polymorphonuclear cells,observation,Both inflammatory cell types were equally prominent
HLT-HSV-010,Later lesions,Neutrophils,observation,Neutrophils became the predominant inflammatory cells
HLT-HSV-010,Physical findings,Changes present before onset,observation,Histopathologic changes were present before visible physical findings
